geo_unit,X,Y
WHITWORTH,54.696800231933594,-1.6105999946594238
WHITWORTH WITHOUT,54.69029998779297,-1.6483999490737915
WHORLTON,54.52939987182617,-1.8382999897003174
WILLINGTON,54.71139907836914,-1.6916999816894531
WINDLESTONE,54.638301849365234,-1.5825200080871582
WINGATE,54.72570037841797,-1.3804999589920044
WINLATON,54.954498291015625,-1.7239999771118164
WINSTON,54.537200927734375,-1.8133699893951416
WITTON GILBERT,54.714599609375,-1.746359944343567
WITTON LE WEAR,54.676300048828125,-1.7702000141143799
WOLSINGHAM,54.72999954223633,-1.883620023727417
WOLVISTON,54.62310028076172,-1.2996000051498413
WOODHAM,54.60940170288086,-1.5430899858474731
WOODLAND,54.626399993896484,-1.9134199619293213
